,tweet_id,timestamp,text,rating_denominator,name,rating,rating_numerator_new,dog_stage,retweet_count,favorite_count,jpg_url,img_num,p1,p1_conf,p2,p2_conf,p3,p3_conf
1,892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",10,Tilly,13/10,13,puppo,5562,30714,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,32.36,Pekinese,9.06,papillon,6.9
2,891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,10,Archie,12/10,12,,3683,23092,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,71.6,malamute,7.83,kelpie,3.14
4,891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",10,Franklin,12/10,12,,8279,37039,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,55.57,English_springer,22.58,German_short-haired_pointer,17.52
7,890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,10,None,13/10,13,,16785,59812,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,56.61,Eskimo_dog,17.84,Pembroke,7.65
8,890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,10,Zoey,13/10,13,,3825,25697,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,48.76,Irish_setter,19.31,Chesapeake_Bay_retriever,11.82
9,890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,10,Cassie,14/10,14,doggo,6516,29345,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,51.13,Cardigan,45.1,Chihuahua,2.92
10,890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,10,Koda,13/10,13,doggo,6520,28268,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,95.8,Pomeranian,1.39,chow,0.82
12,889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,10,None,13/10,13,puppo,8896,44192,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,96.63,Cardigan,2.74,basenji,0.46
13,889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,10,Ted,12/10,12,,3977,24859,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,99.16,boxer,0.21,Staffordshire_bullterrier,0.15
14,889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,10,Stuart,13/10,13,puppo,2010,13975,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,95.34,Labrador_retriever,1.38,redbone,0.8
15,889278841981685760,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,10,Oliver,13/10,13,,4742,23205,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,62.62,borzoi,19.47,Saluki,2.74
16,888917238123831296,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,10,Jim,12/10,12,,3993,26824,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever,71.47,Tibetan_mastiff,12.02,Labrador_retriever,10.55
17,888804989199671297,2017-07-22 16:56:37,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,10,Zeke,13/10,13,,3766,23535,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,golden_retriever,46.98,Labrador_retriever,18.42,English_setter,7.35
18,888554962724278272,2017-07-22 00:23:06,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,10,Ralphus,13/10,13,,3076,18159,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky,70.04,Eskimo_dog,16.65,malamute,11.14
19,888078434458587136,2017-07-20 16:49:33,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,10,Gerald,12/10,12,,3086,20047,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_bulldog,99.5,pug,0.09,bull_mastiff,0.09
20,887705289381826560,2017-07-19 16:06:48,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,10,Jeffrey,13/10,13,,4802,27879,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,basset,82.17,redbone,8.76,Weimaraner,2.62
22,887473957103951883,2017-07-19 00:47:34,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,10,Canela,13/10,13,,15998,63268,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,Pembroke,80.92,Rhodesian_ridgeback,5.5,beagle,3.89
24,887101392804085760,2017-07-18 00:07:08,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,10,None,12/10,12,floofer,5305,28224,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,73.39,Eskimo_dog,3.5,Staffordshire_bullterrier,2.97
26,886736880519319552,2017-07-16 23:58:41,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",10,Mingus,13/10,13,puppo,2836,11008,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,kuvasz,30.97,Great_Pyrenees,18.61,Dandie_Dinmont,8.63
28,886366144734445568,2017-07-15 23:25:31,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,10,Roscoe,12/10,12,pupper,2812,19462,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,French_bulldog,99.92,Chihuahua,0.04,Boston_bull,0.01
30,885984800019947520,2017-07-14 22:10:11,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,10,Jimbo,12/10,12,,5976,29970,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,Blenheim_spaniel,97.25,Shih-Tzu,0.66,Bernese_mountain_dog,0.62
31,885528943205470208,2017-07-13 15:58:47,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,10,Maisey,13/10,13,,5688,33109,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1,pug,36.93,Labrador_retriever,26.58,kuvasz,13.47
32,885167619883638784,2017-07-12 16:03:00,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,10,None,13/10,13,,3883,20146,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4,malamute,81.25,Siberian_husky,7.17,Eskimo_dog,5.58
33,884925521741709313,2017-07-12 00:01:00,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",10,Earl,12/10,12,,16052,70880,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1,Italian_greyhound,25.99,American_Staffordshire_terrier,19.85,Staffordshire_bullterrier,12.77
34,884876753390489601,2017-07-11 20:47:12,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,10,Lola,13/10,13,,4959,25602,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1,chow,82.21,Norwich_terrier,10.61,Norfolk_terrier,3.73
35,884562892145688576,2017-07-11 00:00:02,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,10,Kevin,13/10,13,,4182,22384,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1,pug,54.64,French_bulldog,40.43,Brabancon_griffon,4.4
36,884441805382717440,2017-07-10 15:58:53,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",10,None,14/10,14,,5076,24961,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1,Pembroke,99.32,Cardigan,0.32,Chihuahua,0.21
37,884162670584377345,2017-07-09 21:29:42,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,10,Yogi,12/10,12,doggo,2662,18798,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,German_shepherd,70.7,malinois,19.94,Norwegian_elkhound,4.91
38,883838122936631299,2017-07-09 00:00:04,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,10,Noah,12/10,12,puppo,3039,20106,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1,Doberman,61.09,miniature_pinscher,29.96,kelpie,6.3
39,883482846933004288,2017-07-08 00:28:19,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",10,Bella,5/10,5,,8787,42199,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1,golden_retriever,94.31,Labrador_retriever,3.24,kuvasz,0.55
40,883360690899218434,2017-07-07 16:22:55,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,10,Grizzwald,13/10,13,floofer,3280,20879,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1,chow,98.8,Tibetan_mastiff,0.71,Newfoundland,0.21
41,883117836046086144,2017-07-07 00:17:54,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E",10,None,13/10,13,,5917,34129,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,2,golden_retriever,94.96,Labrador_retriever,4.59,kuvasz,0.25
43,882762694511734784,2017-07-06 00:46:41,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,10,Gus,12/10,12,pupper,4345,26013,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1,Labrador_retriever,85.0,Chesapeake_Bay_retriever,7.43,flat-coated_retriever,1.56
44,882627270321602560,2017-07-05 15:48:34,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,10,Stanley,13/10,13,,5403,25801,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1,Pembroke,54.3,Chihuahua,25.2,Cardigan,10.77
45,882268110199369728,2017-07-04 16:01:23,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,10,Alfy,13/10,13,,10308,41257,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,1,golden_retriever,76.22,Labrador_retriever,9.9,cocker_spaniel,1.72
48,881666595344535552,2017-07-03 00:11:11,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,10,Gary,13/10,13,pupper,9500,46669,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,1,Saluki,52.9,Afghan_hound,25.0,golden_retriever,16.07
